question,answer
"Router 1 has a Fast Ethernet interface 0/0 with IP address 10.1.1.1. The interface is connected to a switch. This connection is then migrated to use 802.1Q trunking. Which of the following commands could be part of a valid configuration for Router 1’s Fa0/0 interface, assuming the trunk uses VLAN 4 as one of the supported VLANs? (Choose two answers.)
A. interface fastethernet 0/0.4
B. dot1q enable
C. dot1q enable 4
D. trunking enable
E. trunking enable 4
F. encapsulation dot1q 4",AF
"Router R1 has a router-on-a-stick (ROAS) configuration with two subinterfaces of interface G0/1: G0/1.1 and G0/1.2. Physical interface G0/1 is currently in a down/down state. The network engineer then configures a shutdown command when in interface configuration mode for G0/1.1 and a no shutdown command when in interface configuration mode for G0/1.2. Which answers are correct about the interface state for the subinterfaces? (Choose two answers.)
A. G0/1.1 will be in a down/down state.
B. G0/1.2 will be in a down/down state.
C. G0/1.1 will be in an administratively down state.
D. G0/1.2 will be in an up/up state.",BC
"A Layer 3 switch has been configured to route IP packets between VLANs 1, 2, and 3 using SVIs, which connect to subnets 172.20.1.0/25, 172.20.2.0/25, and 172.20.3.0/25, respectively. The engineer issues a show ip route connected command on the Layer 3 switch, listing the connected routes. Which of the following answers lists a piece of information that should be in at least one of the routes?
A. Interface Gigabit Ethernet 0/0.3
B. Next-hop router 172.20.2.1
C. Interface VLAN 2
D. Mask 255.255.255.0",C
"An engineer has successfully configured a Layer 3 switch with SVIs for VLANs 2 and 3 with autostate enabled by default. Hosts in the subnets using VLANs 2 and 3 can ping each other with the Layer 3 switch routing the packets. The next week, the network engineer receives a call that those same users can no longer ping each other. If the problem is with the Layer 3 switching function, which of the following could have caused the problem? (Choose two answers.)
A. Six (or more) out of ten working VLAN 2 access ports failing due to physical problems
B. A shutdown command issued from interface VLAN 4 configuration mode
C. A no vlan 2 command issued from global configuration mode
D. A shutdown command issued from VLAN 2 configuration mode",CD
"A LAN design uses a Layer 3 EtherChannel between two switches SW1 and SW2, with port-channel interface 1 used on both switches. SW1 uses ports G0/1, G0/2, G0/3, and G0/4 in the channel. Which of the following is true about SW1’s configuration to enable the channel to route IPv4 packets correctly? (Choose two answers.)
A. The ip address command must be on the port-channel 1 interface.
B. The ip address command must be on interface G0/1 (lowest numbered port).
C. The port-channel 1 interface must be configured with the no switchport command.
D. Interface G0/1 must be configured with the routedport command.",AC
"A LAN design uses a Layer 3 EtherChannel between two switches: SW1 and SW2. An engineer adds SW1 port G0/1 to the channel successfully but later fails when adding SW1 port G0/2 to the channel. Which answers list a configuration setting on port G0/2 that would cause this issue? (Choose two answers.)
A. A different STP cost (spanning-tree cost value)
B. A different speed (speed value)
C. A default setting for switchport (switchport)
D. A different access VLAN (switchport access vlan vlan-id)",BC
"A router has some routed and some switched physical ports. Which interface subcommands would you expect to be supported only on the switched ports?
A. The switchport access vlan vlan-id subcommand
B. The ip address address mask subcommand
C. The description text subcommand
D. The hostname name subcommand ",A
"A PC connects to a LAN and uses DHCP to lease an IP address for the first time. Of the usual four DHCP messages that flow between the PC and the DHCP server, which ones does  the client send? (Choose two answers.)
A. Acknowledgment
B. Discover
C. Offer
D. Request",BD
"Which of the following kinds of information are part of a DHCP server configuration? (Choose two answers.)
A. Ranges of IP addresses in subnets that the server should lease
B. Ranges of IP addresses to not lease per subnet
C. DNS server hostnames
D. The default router IP and MAC address in each subnet",AB
"Which answers list a criterion for choosing which router interfaces need to be configured as a DHCP relay agent? (Choose two answers.)
A. If the subnet off the interface does not include a DHCP server
B. If the subnet off the interface does include a DHCP server
C. If the subnet off the interface contains DHCP clients
D. If the router interface already has an ip address dhcp command",AC
"A router connects to an Internet service provider (ISP) using its G0/0/0 interface, with the ip address dhcp command configured. What does the router do with the DHCP-learned default gateway information?
A. The router ignores the default gateway value learned from the DHCP server.
B. The router uses the default gateway just like a host, ignoring its routing table.
C. The router forwards received packets based on its routing table but uses its default gateway setting to forward packets it generates itself.
D. The router adds a default route based on the default gateway to its IP routing table.",D
"In the following excerpt from a command on a Mac, which of the following parts of the output represent information learned from a DHCP server? (Choose two answers.) 
A. 00:6d:e7:b1:9a:11
B. 172.16.4.2
C. 0xffffff00
D. 172.16.4.255",BC
"Which of the following commands on a Windows OS should list both the host’s IP address and DNS servers’ IP addresses as learned with DHCP?
A. ifconfig
B. ipconfig
C. ifconfig /all
D. ipconfig /all ",D
